site,80,443
cricket-365.me,ok,ok
cricket-365.tv,ok,ok
cricket-streams.com,ok,ok
cricket-tv.me,ok,ok
cricket-tv.net,ok,ok
cricket.cric-live.co,ok,ok
cricketcrowd.com,ok,ok
cricketembed.com,ok,ok
cricketembeds.com,other_error,other_error
crickethighlights2.com,ok,ok
crickethighlights3.com,ok,ok
cricketkey.com,ok,timeout
cricketlive-tv.net,other_error,other_error
cricketlivefree.com,ok,ok
cricketlook.com,ok,timeout
cricketmaza.com,ok,timeout
cricketstreaming.info,other_error,other_error
crickhighlights.net,ok,ok
cricmelive.tv,ok,ok
cricmewatch.com,other_error,other_error
cricnow.co.uk,other_error,other_error
cricontv.com,other_error,other_error
cricpass.net,ok,timeout
cricpower.com,ok,ok
cricstop.com,ok,ok
crictime.biz,ok,timeout
crictime.bz,ok,ok
crictime.ni,other_error,other_error
crictime.nl,ok,ok
crictime.sc,other_error,other_error
crictime.tv,ok,timeout
crictime1.in,ok,ok
crictime2.net,other_error,other_error
crictunes.com,ok,ok
cricvid.com,ok,ok
cricvip.com,ok,timeout
cricwebtv.com,other_error,other_error
cricwindow.com,ok,ok
crimazlive.com,ok,timeout
crisshare.com,ok,ok
crocko.com,other_error,other_error
cryptbin.com,timeout,timeout
csioiphone.com,other_error,other_error
cuckinohio.tumblr.com,ok,ok
currentaffairspk.com,ok,ok
cutepornvideos.com,ok,ok
cutewap.co,ok,timeout
cv55.eu,ok,ok
d.tnhits.net,other_error,other_error
d01.megashares.com,ok,ok
d2.djkondal.com,other_error,other_error
dabang.pk,ok,timeout
daclips.com,other_error,other_error
daglu.info,ok,timeout
daily8pm.com,other_error,other_error
dailymotionfullmovie.com,ok,ok
dailymotionfullmovie.info,other_error,other_error
dailypak.info,other_error,other_error
dailyrulz.com,ok,timeout
dailyvdo.com,ok,timeout
dailyvdo.comclipta.pk,other_error,other_error
dardarkom.com,ok,ok
dattorrent.com,other_error,other_error
dbmusicboss.in,other_error,other_error
dbmusicboss.net,other_error,other_error
dbtorrents.com,ok,ok
dead1.moviespal.us,ok,timeout
dead2.moviespal.us,ok,timeout
dead3.moviespal.us,ok,timeout
dead4.moviespal.us,ok,timeout
defence.pk,ok,ok
dekho.to,ok,ok
demo.ovh.eu,ok,ok
